"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"6295",989,2,2,1,2,2,4,2,2.5,5,3,3,2,2015-10-11,0.84486809477223,1,2,1,2,0,"Mazowieckie",1,1,"Hungary",NA,73,0,0,-1,0,1,0,0,1,"PO/PSL","none","none",2,NA,NA
"6296",993,3,2,NA,2,3,3,3,2.5,3,3,5,1,2015-10-11,0.832197959291888,1,1,1,NA,0,"Podkarpackie",0,1,"history",1,53,0,0,NA,1,0,1,0,0,"NoVote","DK","90/10",0,NA,NA
"6297",994,5,4,1,2,3,2,2,4,4,4,3,2,2015-10-11,1.0666416345589,0,1,1,2,0,"Podkarpackie",0,1,"history",2,19,0,0,0,1,0,1,0,0,"other","some","90/10",2,NA,NA
"6298",996,4,4,1,3,3,4,4,2.5,3,2,3,4,2015-10-11,1.11801038266368,1,2,2,3,1,"Wielkopolskie",1,2,"cntrl",NA,50,0,0,0,0,0,1,0,1,"DK","none","none",1,NA,NA
"6299",999,3,3,2,3,4,3,3,2,3,3,4,4,2015-10-11,1.29386006645801,0,4,2,NA,1,"Lubuskie",1,2,"info",3,25,0,0,-1,1,0,1,0,1,"PO/PSL","some","50/50",2,NA,NA
"6300",1000,3,1,1,3,2,3,3,2,5,4,3,5,2015-10-11,1.27672907626759,0,2,2,1,0,"Lubuskie",0,2,"history",3,40,0,0,0,0,0,1,0,0,"DK","big","90/10",1,NA,NA
"6301",1006,1,1,2,4,5,4,5,3,3,3,3,4,2015-10-11,0.81604026220189,1,2,1,3,0,"Lubelskie",1,2,"history",4,56,0,0,-1,0,0,1,NA,NA,"DK","none","none",1,NA,NA
"6302",1009,2,2,2,4,3,4,3,4,3,3,4,3,2015-10-11,1.09020905236777,1,1,1,3,0,"Lubelskie",0,1,"cntrl",2,72,0,0,1,1,1,0,0,0,"PO/PSL","none","none",2,NA,NA
"6303",1010,2,2,2,3,4,3,2,4,3,3,3,2,2015-10-11,0.969109651535967,1,2,1,4,1,"Lubelskie",1,1,"info",2,63,0,0,2,0,1,0,1,0,"PiS","big","90/10",2,NA,NA
"6304",1013,2,2,1,3,2,3,3,2,3,3,3,3,2015-10-10,0.876300744034304,1,4,2,2,0,"Lubelskie",1,1,"history",4,69,0,1,0,0,1,0,0,1,"PO/PSL","some","50/50",2,NA,NA
"6305",1014,4,4,2,3,3,3,NA,2.5,3,3,4,3,2015-10-10,2.13315270888319,0,3,2,NA,0,"Lubelskie",NA,1,"Hungary",NA,25,0,0,0,0,0,1,NA,NA,"other","big","90/10",2,NA,NA
"6306",1016,3,3,2,3,3,4,3,3,4,3,1,4,2015-10-11,1.15994459911196,0,4,3,3,1,"Slaskie",1,1,"history",NA,27,0,0,0,0,0,1,0,1,"other","none","none",2,NA,NA
"6307",1017,2,2,NA,3,2,NA,NA,3,3,3,3,1,2015-10-10,0.812881998657614,1,1,1,3,0,"Slaskie",NA,1,"cntrl",NA,73,0,0,3,1,1,0,NA,NA,"PiS","DK","90/10",2,NA,NA
"6308",1018,1,1,2,4,2,4,3,4,5,3,3,3,2015-10-10,0.741689033875839,0,3,2,3,0,"Slaskie",0,2,"Hungary",NA,21,0,0,3,1,0,1,0,0,"PiS","some","90/10",2,NA,NA
"6309",1019,2,2,2,3,4,3,3,2.5,3,3,4,4,2015-10-11,0.840108801250206,1,2,2,3,0,"Slaskie",0,1,"history",NA,57,0,0,0,0,1,0,0,0,"DK","some","90/10",1,NA,NA
"6310",1020,5,3,NA,3,2,3,2,2,3,3,3,4,2015-10-10,0.698637772780223,0,4,2,2,0,"Slaskie",1,1,"Hungary",NA,75,0,0,0,0,1,0,0,1,"DK","some","50/50",1,NA,NA
"6311",1021,2,1,2,3,2,NA,2,NA,5,3,3,2,2015-10-11,0.753424150732129,0,4,2,NA,1,"Slaskie",1,2,"Hungary",NA,42,0,0,1,1,0,1,NA,NA,"DK","some","90/10",1,NA,NA
"6312",1025,4,3,2,NA,4,2,1,4,5,3,3,2,2015-10-11,1.17448823508591,1,2,1,4,0,"Lubelskie",1,2,"cntrl",1,49,0,0,0,0,0,1,1,0,"PiS","none","none",2,NA,NA
"6313",1026,3,3,2,4,3,4,3,4,4,3,3,4,2015-10-10,1.38135508368071,0,1,1,3,0,"Lódzkie",0,1,"Hungary",2,24,0,0,NA,0,0,1,0,0,"NoVote","big","some",0,NA,NA
"6314",1027,2,2,NA,NA,3,NA,NA,2.5,4,3,2,4,2015-10-09,0.952427028996762,1,1,1,NA,0,"Lódzkie",1,1,"info",2,71,0,0,0,0,1,0,0,1,"PO/PSL","none","none",2,NA,NA
"6315",1028,2,2,2,2,4,2,2,4,3,4,2,2,2015-10-11,0.945320680334896,0,4,1,4,1,"Lódzkie",1,1,"info",3,25,0,0,3,1,0,1,1,0,"PiS","some","50/50",2,NA,NA
"6316",1029,4,4,2,4,3,3,2,2.5,3,3,4,4,2015-10-11,0.825654065416682,1,1,1,3,0,"Lódzkie",0,1,"history",NA,69,0,0,NA,1,1,0,0,0,"DK","DK","DK",1,NA,NA
"6317",1031,3,3,2,NA,4,NA,NA,2.5,1,3,5,4,2015-10-11,1.02758690304341,0,2,1,3,0,"Lódzkie",0,1,"cntrl",1,38,0,0,NA,1,0,0,0,0,"NoVote","none","none",0,NA,NA
"6318",1032,3,3,2,4,3,3,NA,2.5,3,4,4,3,2015-10-10,1.09046755140264,1,4,1,3,NA,"Lódzkie",0,2,"info",NA,29,0,0,NA,0,0,1,0,0,"DK","some","some",1,NA,NA
"6319",1033,3,2,2,NA,3,NA,NA,2.5,4,3,3,2,2015-10-10,0.65357745358048,0,2,1,NA,0,"Lódzkie",1,1,"info",2,70,0,0,0,0,1,0,NA,NA,"DK","none","none",1,NA,NA
"6320",1034,4,4,2,NA,4,NA,NA,2.5,3,3,4,4,2015-10-11,0.825654065416682,1,1,1,3,0,"Lódzkie",1,1,"cntrl",2,72,0,0,1,1,0,0,1,0,"NoVote","none","none",0,NA,NA
"6321",1035,2,2,2,NA,3,NA,2,2.5,3,3,4,4,2015-10-11,1.13031257754693,0,2,1,NA,0,"Lódzkie",1,1,"info",2,49,0,0,NA,0,0,0,1,0,"DK","none","none",1,NA,NA
"6322",1038,1,1,2,3,3,3,3,3,4,3,5,4,2015-10-11,0.64006795057473,0,2,3,3,1,"Kujawsko-pomorskie",1,1,"Hungary",5,65,0,0,0,1,1,0,0,1,"other","some","50/50",2,NA,NA
"6323",1039,4,2,2,3,3,4,3,2.5,4,3,3,1,2015-10-10,1.20133608405928,1,2,1,3,0,"Kujawsko-pomorskie",0,2,"history",2,51,0,0,NA,0,0,1,0,0,"NoVote","none","none",0,NA,NA
"6324",1040,3,2,1,2,3,3,3,2,5,3,2,4,2015-10-11,1.31818259331973,1,4,3,2,1,"Kujawsko-pomorskie",0,2,"cntrl",5,31,0,0,1,0,0,1,0,0,"PO/PSL","none","none",2,NA,NA
"6325",1044,13,8,2,3,3,3,3,4,3,3,3,2,2015-10-11,0.886035100385803,1,2,2,3,1,"Mazowieckie",1,1,"Hungary",NA,61,0,0,1,0,0,1,1,0,"PiS","big","50/50",2,NA,NA
"6326",1048,5,4,2,3,4,3,3,4,3,3,3,5,2015-10-11,1.08721890530062,0,2,2,4,0,"Slaskie",0,1,"Hungary",4,21,0,0,2,0,0,1,0,0,"DK","none","none",1,NA,NA
"6327",1051,5,4,2,3,3,3,3,2.5,3,3,4,2,2015-10-10,0.686338396771267,0,2,1,4,0,"Slaskie",0,2,"info",2,22,0,0,0,0,0,1,0,0,"DK","none","some",1,NA,NA
"6328",1052,6,4,2,3,3,4,3,2.5,4,3,4,2,2015-10-11,1.06856285493558,1,2,1,2,0,"Slaskie",NA,2,"Hungary",1,30,0,0,0,1,0,1,NA,NA,"DK","some","some",2,NA,NA
"6329",1053,1,1,2,3,3,3,2,3,2,2,2,2,2015-10-11,0.739728861988462,0,2,2,3,0,"Lódzkie",1,1,"cntrl",3,57,0,0,3,1,0,0,1,0,"PiS","none","none",2,NA,NA
"6330",1057,2,2,1,3,2,4,3,2.5,4,3,2,5,2015-10-11,0.765262011045109,1,4,2,3,1,"Lódzkie",1,2,"info",5,35,0,0,-3,1,0,1,0,0,"other","none","none",2,NA,NA
"6331",1061,3,2,1,3,3,2,3,2,4,5,5,2,2015-10-11,0.876029438461685,0,3,2,2,1,"Pomorskie",0,1,"history",4,23,0,0,0,1,0,0,0,0,"NoVote","some","some",0,NA,NA
"6332",1064,1,1,2,3,4,3,3,2.5,3,4,3,5,2015-10-11,1.41438254117755,0,2,3,4,1,"Kujawsko-pomorskie",0,2,"info",NA,27,0,0,NA,0,0,1,0,0,"NoVote","big","some",0,NA,NA
"6333",1065,1,1,1,3,2,4,2,2,4,3,3,3,2015-10-11,0.636892667625932,0,4,3,1,0,"Lódzkie",1,1,"cntrl",5,78,0,0,0,1,1,0,0,1,"DK","DK","DK",2,NA,NA
"6334",1067,3,2,1,3,3,3,3,2,3,3,3,3,2015-10-11,1.12508332632049,1,2,3,2,1,"Lódzkie",1,2,"info",5,43,0,0,1,0,0,1,0,1,"PO/PSL","none","90/10",2,NA,NA
"6335",1069,1,1,2,2,NA,2,NA,3,2,3,3,1,2015-10-11,0.821258591452106,0,1,1,3,0,"Malopolskie",1,1,"info",3,81,0,0,NA,1,1,0,1,0,"PiS","DK",NA,2,NA,NA
"6336",1077,2,2,2,3,4,3,3,2.5,4,3,4,4,2015-10-11,0.790510893936044,1,2,2,3,0,"Lubuskie",1,2,"info",4,63,0,0,-3,0,0,1,0,0,"other","none","none",2,NA,NA
"6337",1079,4,2,NA,NA,3,NA,3,2.5,3,4,5,3,2015-10-11,0.920625082492612,1,2,1,NA,1,"Pomorskie",0,2,"cntrl",NA,46,0,0,NA,0,0,1,0,0,"DK","none","none",1,NA,NA
"6338",1080,10,7,2,4,3,4,3,2.5,3,3,4,1,2015-10-11,1.04982344108626,1,3,1,3,1,"Pomorskie",0,2,"info",NA,29,0,0,NA,1,0,1,0,0,"NoVote","big","90/10",0,NA,NA
"6339",1081,5,5,2,4,3,5,3,2.5,3,3,5,2,2015-10-11,0.836956339489544,0,2,1,NA,0,"Pomorskie",1,2,"Hungary",NA,36,0,0,NA,1,0,1,NA,NA,"DK","DK","DK",1,NA,NA
"6340",1082,3,3,NA,4,4,3,3,2.5,1,3,3,5,2015-10-11,0.963846797677204,1,2,2,3,1,"Slaskie",1,1,"history",2,64,0,0,-1,0,1,0,0,1,"DK","some","90/10",1,NA,NA
"6341",1083,3,2,2,4,3,5,4,2,4,3,5,2,2015-10-11,0.946346009423225,1,2,2,3,1,"Slaskie",1,2,"cntrl",5,45,0,0,NA,1,0,1,0,1,"NoVote","some","50/50",0,NA,NA
"6342",1084,1,1,1,4,3,4,3,2,4,3,1,5,2015-10-11,0.649845010717621,0,2,2,2,0,"Slaskie",1,1,"cntrl",5,81,0,0,-3,1,1,0,0,0,"other","some","50/50",2,NA,NA
"6343",1085,6,5,2,4,3,4,3,3,3,3,4,1,2015-10-11,0.875722268002621,1,2,1,3,0,"Slaskie",1,2,"cntrl",1,50,0,0,NA,0,0,1,1,0,"DK","none","50/50",2,NA,NA
"6344",1086,4,2,2,NA,4,3,3,2.5,5,3,3,4,2015-10-11,1.20763288873442,1,4,3,3,1,"Warminsko-mazurskie",1,2,"info",NA,34,0,0,0,1,0,1,0,1,"DK","DK","some",1,NA,NA
"6345",1087,2,2,NA,5,3,4,3,1,3,3,3,4,2015-10-11,0.869728419220684,0,2,3,2,1,"Warminsko-mazurskie",0,1,"Hungary",5,61,0,0,NA,1,1,0,0,0,"PO/PSL","none","50/50",2,NA,NA
"6346",1094,4,3,1,3,3,3,3,2.5,3,3,3,5,2015-10-11,1.31268119266489,0,3,3,1,0,"Zachodniopomorskie",0,1,"Hungary",2,20,0,0,0,0,0,1,0,0,"other","none","none",2,NA,NA
"6347",1097,1,1,1,2,2,3,2,1,3,1,2,1,2015-10-11,0.665479615059735,0,4,2,3,0,"Zachodniopomorskie",1,1,"history",5,79,0,0,0,1,1,0,0,1,"PO/PSL","big","50/50",2,NA,NA
"6348",1098,2,2,2,3,4,5,NA,3,4,3,3,5,2015-10-11,0.823682159044681,1,2,2,4,1,"Zachodniopomorskie",0,1,"history",4,78,0,0,-3,0,1,0,0,0,"other","big","50/50",2,NA,NA
"6349",1106,5,4,2,3,4,2,2,2,4,4,3,2,2015-10-11,0.598061432461841,1,2,1,2,1,"Kujawsko-pomorskie",NA,1,"Hungary",1,45,0,0,0,1,0,1,NA,NA,"DK","some","none",1,NA,NA
"6350",1107,4,4,2,3,5,5,3,2.5,5,5,5,4,2015-10-11,0.782082889255692,0,1,1,3,0,"Kujawsko-pomorskie",NA,1,"history",NA,22,0,0,NA,1,0,1,NA,NA,"NoVote","DK","DK",0,NA,NA
"6351",1110,2,2,1,3,3,3,2,3,1,1,3,2,2015-10-11,0.718160712142979,0,2,1,2,1,"Warminsko-mazurskie",1,1,"history",1,61,0,0,0,1,1,0,0,1,"PO/PSL","DK","50/50",2,NA,NA
"6352",1111,2,2,1,2,4,2,2,3,4,3,3,1,2015-10-11,0.671152829280942,1,2,1,4,1,"Warminsko-mazurskie",1,1,"cntrl",3,57,0,0,2,1,0,0,1,0,"PiS","some","some",2,NA,NA
"6353",1112,3,2,1,3,3,3,3,2,4,3,3,2,2015-10-11,0.983975655519965,1,2,1,2,0,"Warminsko-mazurskie",1,2,"Hungary",3,43,0,0,1,0,0,1,0,1,"PO/PSL","some","90/10",2,NA,NA
"6354",1113,2,2,2,2,3,3,3,3,3,1,4,3,2015-10-11,0.876860582965285,1,2,1,3,0,"Warminsko-mazurskie",1,2,"history",1,54,0,0,-1,0,0,1,0,1,"DK","none","some",1,NA,NA
"6355",1114,2,2,NA,3,3,1,4,4,4,3,2,2,2015-10-11,0.684757074425881,1,1,1,4,0,"Warminsko-mazurskie",1,1,"history",3,58,0,0,0,1,0,1,0,0,"DK","none","some",2,NA,NA
"6356",1115,4,3,2,3,3,4,4,2,5,4,5,3,2015-10-11,0.813386906926122,1,2,1,3,0,"Warminsko-mazurskie",1,2,"history",1,49,0,0,NA,1,0,1,0,1,"DK","some","some",1,NA,NA
"6357",1116,3,3,1,3,3,2,3,2.5,3,3,5,5,2015-10-11,1.26318074499087,0,1,1,2,0,"Warminsko-mazurskie",0,1,"Hungary",1,18,0,0,-1,1,0,1,0,0,"DK","big","50/50",1,NA,NA
"6358",1117,2,2,2,3,3,3,3,2,1,3,3,2,2015-10-11,0.870947302580495,0,1,1,3,0,"Warminsko-mazurskie",0,1,"Hungary",2,69,0,0,NA,1,0,0,0,0,"DK","none","some",1,NA,NA
"6359",1118,2,1,1,2,2,2,1,1,4,4,3,2,2015-10-11,0.951932666410202,1,2,1,2,0,"Warminsko-mazurskie",0,1,"cntrl",2,31,0,0,-3,1,0,1,0,0,"PO/PSL","some","DK",2,NA,NA
"6360",1120,5,4,2,3,4,3,3,2.5,5,3,4,4,2015-10-11,1.43491810848849,0,2,1,4,0,"Swietokrzyskie",NA,2,"info",1,38,0,0,0,1,0,1,NA,NA,"PO/PSL","some","50/50",2,NA,NA
"6361",1121,5,5,2,3,4,3,3,2.5,5,3,4,2,2015-10-11,0.978256026678205,0,2,1,4,0,"Swietokrzyskie",1,2,"history",1,24,0,0,NA,0,0,1,NA,NA,"DK","some","50/50",1,NA,NA
"6362",1122,3,3,1,2,3,4,2,2.5,4,3,3,2,2015-10-11,1.16564600172168,1,3,3,2,1,"Swietokrzyskie",1,1,"history",5,56,0,0,1,0,1,0,NA,NA,"PO/PSL","some","90/10",2,NA,NA
"6363",1124,2,2,NA,3,3,3,3,2,4,3,3,3,2015-10-11,0.757431059999698,1,2,1,3,0,"Swietokrzyskie",1,2,"cntrl",NA,57,0,1,0,0,0,1,0,1,"other","some","50/50",2,NA,NA
"6364",1126,4,2,NA,3,3,2,2,3,4,5,3,4,2015-10-10,1.18819572352926,1,4,2,3,1,"Wielkopolskie",NA,2,"history",3,32,0,0,0,1,0,1,NA,NA,"other","none","some",2,NA,NA
"6365",1128,2,2,1,2,2,4,2,2,4,5,3,5,2015-10-10,0.82149682271243,1,2,2,2,0,"Wielkopolskie",0,1,"info",5,67,0,1,2,0,1,0,0,0,"NoVote","none","none",0,NA,NA
"6366",1133,1,1,1,2,3,2,2,4,4,3,3,2,2015-10-09,0.51229988497442,0,2,1,2,0,"Podlaskie",1,1,"info",4,65,0,0,3,1,1,0,1,0,"PiS","none","50/50",2,NA,NA
"6367",1135,2,2,1,2,3,2,3,1,4,3,2,2,2015-10-09,0.550765251300233,1,4,1,1,1,"Podlaskie",1,1,"cntrl",4,71,0,0,3,0,1,0,1,0,"PiS","some","50/50",2,NA,NA
"6368",1143,4,3,2,3,3,3,3,2.5,4,3,4,4,2015-10-11,0.584180287436507,0,3,2,3,1,"Warminsko-mazurskie",0,1,"Hungary",NA,19,0,0,NA,1,0,1,0,0,"DK","some","90/10",1,NA,NA
"6369",1147,2,2,NA,NA,3,NA,NA,2,3,3,2,2,2015-10-11,1.38309562508846,1,1,3,NA,0,"Mazowieckie",0,1,"Hungary",NA,67,0,0,0,1,1,0,0,0,"PO/PSL","none","none",2,NA,NA
"6370",1148,3,3,1,1,4,1,2,2.5,1,2,3,1,2015-10-09,0.955273586947023,0,1,1,1,0,"Zachodniopomorskie",NA,2,"Hungary",1,55,0,0,3,1,0,1,NA,NA,"DK","DK","DK",1,NA,NA
"6371",1149,2,2,NA,2,3,NA,NA,3,4,3,4,2,2015-10-10,0.776573900585404,1,1,1,3,0,"Malopolskie",1,2,"history",NA,58,0,0,NA,1,0,1,1,0,"PiS","none","DK",2,NA,NA
"6372",1150,3,2,2,NA,4,4,4,2.5,3,3,4,2,2015-10-10,1.28929845637547,1,1,1,3,0,"Malopolskie",1,2,"Hungary",2,49,1,0,NA,0,0,1,NA,NA,"PO/PSL","big","50/50",2,NA,NA
"6373",1151,4,4,1,NA,3,NA,3,2,5,3,5,2,2015-10-10,0.499803061694811,0,2,1,NA,0,"Malopolskie",0,1,"info",NA,20,0,0,NA,1,0,1,0,0,"DK","some","50/50",1,NA,NA
"6374",1153,4,4,2,3,4,4,3,2.5,4,3,4,4,2015-10-10,0.962734197935019,1,4,3,3,0,"Zachodniopomorskie",1,2,"Hungary",4,23,0,0,0,0,0,1,0,1,"DK","none","none",1,NA,NA
"6375",1157,2,2,1,3,5,NA,3,1,1,2,5,5,2015-10-10,0.905077241268348,1,2,3,4,0,"Zachodniopomorskie",0,1,"cntrl",4,74,0,0,NA,0,1,0,0,0,"NoVote","DK","none",0,NA,NA
"6376",1162,4,3,1,3,2,4,2,2,3,3,2,5,2015-10-10,1.07404126177467,0,2,3,2,0,"Zachodniopomorskie",0,1,"history",1,41,0,0,-1,0,0,1,0,0,"NoVote","some","50/50",0,NA,NA
"6377",1164,2,2,2,NA,2,3,3,2,5,3,3,4,2015-10-10,0.79762212941213,1,4,3,1,1,"Zachodniopomorskie",1,2,"Hungary",5,62,0,0,-1,0,0,1,0,0,"DK","big","50/50",2,NA,NA
"6378",1167,4,4,2,3,3,2,2,4,3,3,3,2,2015-10-12,0.890563079965707,0,2,3,3,0,"Warminsko-mazurskie",1,2,"Hungary",2,22,0,0,0,0,0,1,NA,NA,"other","big","90/10",2,NA,NA
"6379",1169,5,3,2,3,2,2,3,2.5,5,3,3,4,2015-10-12,1.5083593247141,1,4,1,2,1,"Mazowieckie",1,2,"info",5,29,0,0,0,0,0,1,0,1,"other","none","none",2,NA,NA
"6380",1174,3,2,NA,NA,3,3,NA,2.5,5,4,3,4,2015-10-10,1.30758889725251,1,4,1,3,1,"Mazowieckie",NA,2,"Hungary",NA,30,0,0,NA,1,0,1,NA,NA,"PiS","DK","DK",2,NA,NA
"6381",1179,2,2,1,3,3,3,3,2.5,5,4,3,4,2015-10-12,1.28955566813784,1,2,2,3,0,"Lódzkie",0,2,"history",5,32,0,0,0,0,0,1,0,0,"NoVote","none","some",0,NA,NA
"6382",1181,2,2,2,3,2,3,4,2.5,5,3,3,2,2015-10-12,0.960336394225949,1,1,1,NA,0,"Wielkopolskie",0,1,"cntrl",3,71,0,0,NA,0,1,0,0,0,"DK","none","some",1,NA,NA
"6383",1182,2,2,NA,3,3,3,4,2.5,4,3,5,2,2015-10-12,0.832510653226062,1,1,1,4,0,"Wielkopolskie",1,1,"history",2,65,0,0,NA,1,1,0,0,1,"DK","none","none",1,NA,NA
"6384",1186,5,2,2,2,4,2,NA,4,3,3,2,2,2015-10-10,1.0847572698487,1,4,3,3,1,"Mazowieckie",1,2,"cntrl",4,46,0,0,3,1,0,1,0,0,"PiS","none","none",2,NA,NA
"6385",1191,1,1,2,3,4,NA,3,3,4,3,3,2,2015-10-10,1.1639220178333,0,4,3,4,0,"Mazowieckie",1,2,"info",5,50,0,1,2,1,0,1,1,0,"PiS","none","50/50",2,NA,NA
"6386",1192,4,4,1,3,3,NA,NA,2,4,3,2,4,2015-10-09,0.869418893004376,1,4,3,2,1,"Mazowieckie",1,2,"cntrl",5,62,0,0,0,0,0,1,0,1,"PO/PSL","some","some",2,NA,NA
"6387",1195,4,4,2,4,2,5,4,2,3,3,2,5,2015-10-10,0.75369474164889,1,4,3,1,0,"Mazowieckie",1,2,"info",2,59,0,1,0,1,0,1,0,1,"other","none","none",2,NA,NA
"6388",1198,2,2,1,3,2,4,3,2,5,3,2,5,2015-10-09,0.957760749261205,1,4,3,4,0,"Mazowieckie",1,1,"cntrl",5,63,0,0,1,1,1,0,0,1,"other","none","none",2,NA,NA
"6389",1199,5,4,1,3,4,3,3,4,4,2,1,4,2015-10-10,1.33352090207267,0,4,3,3,1,"Mazowieckie",1,2,"info",2,23,0,0,-1,0,0,1,1,0,"other","some","90/10",2,NA,NA
"6390",1203,4,3,2,3,3,3,3,2.5,5,3,3,NA,2015-10-12,1.06663827298351,1,2,1,3,0,"Zachodniopomorskie",NA,2,"history",NA,43,0,1,NA,0,0,1,NA,NA,"DK","none","none",2,NA,NA
"6391",1204,1,1,2,NA,NA,NA,NA,2.5,2,3,4,2,2015-10-12,0.553451237699219,0,2,2,4,0,"Zachodniopomorskie",NA,1,"history",NA,57,0,0,NA,1,0,1,NA,NA,"DK","big","some",1,NA,NA
"6392",1206,1,1,2,4,NA,5,NA,3,2,2,4,5,2015-10-12,1.10511697654229,0,3,2,NA,0,"Zachodniopomorskie",1,2,"history",NA,54,0,0,NA,0,0,1,NA,NA,"PO/PSL","DK","DK",2,NA,NA
"6393",1209,2,2,1,2,2,2,2,4,4,3,3,2,2015-10-12,0.860952738408834,1,2,2,4,0,"Malopolskie",1,1,"cntrl",3,64,0,0,2,0,1,0,1,0,"PiS","none","some",2,NA,NA
"6394",1210,4,4,2,4,3,4,NA,2.5,5,3,3,2,2015-10-12,1.19111459017894,0,1,1,NA,0,"Malopolskie",0,1,"cntrl",NA,18,0,0,0,1,0,1,0,0,"DK","some","50/50",1,NA,NA
"6395",1211,3,3,NA,3,3,NA,3,2.5,3,3,3,2,2015-10-12,0.677188680811459,1,2,1,NA,0,"Malopolskie",1,1,"info",1,63,0,0,0,1,0,0,NA,NA,"DK","big","some",1,NA,NA
"6396",1214,3,3,2,3,4,3,2,4,3,3,5,2,2015-10-12,0.396784695581639,1,2,1,4,0,"Podkarpackie",NA,1,"history",1,58,0,0,NA,1,0,1,NA,NA,"PO/PSL","none","90/10",2,NA,NA
"6397",1215,5,5,1,3,3,NA,3,2,3,2,4,2,2015-10-12,0.810552120707306,1,1,2,2,0,"Podkarpackie",1,1,"Hungary",1,73,0,0,2,1,1,0,NA,NA,"DK","none","DK",2,NA,NA
"6398",1232,1,1,2,4,3,3,3,2,3,3,2,4,2015-10-12,1.38576241795012,0,2,1,3,0,"Dolnoslaskie",0,1,"info",4,71,0,0,0,0,1,0,0,0,"DK","big","none",1,NA,NA
"6399",1251,2,1,2,3,5,4,4,2.5,1,4,5,4,2015-10-12,0.695212662335948,0,2,2,3,0,"Opolskie",0,2,"info",2,44,0,0,NA,1,0,1,0,0,"NoVote","some","90/10",0,NA,NA
"6400",1252,1,1,1,3,2,4,3,2.5,3,4,4,2,2015-10-12,0.852949267684944,0,1,2,2,0,"Opolskie",NA,1,"cntrl",2,55,0,0,NA,1,1,0,NA,NA,"DK","none","DK",1,NA,NA
"6401",1256,4,4,2,3,3,3,3,2.5,4,3,5,2,2015-10-12,0.51956033487325,0,2,2,3,0,"Opolskie",0,2,"Hungary",NA,23,0,0,NA,1,0,1,0,0,"NoVote","some","50/50",0,NA,NA
"6402",1259,2,2,2,3,3,4,3,2.5,4,3,3,2,2015-10-12,0.606421621698889,1,2,1,2,0,"Podkarpackie",1,1,"history",3,57,0,0,0,1,0,0,NA,NA,"PO/PSL","big","50/50",2,NA,NA
"6403",1260,1,1,2,2,3,2,NA,4,3,3,5,2,2015-10-09,0.848356713938074,0,1,1,4,0,"Podkarpackie",NA,1,"info",2,67,0,0,2,0,1,0,NA,NA,"PiS","DK","DK",2,NA,NA
"6404",1261,3,3,2,3,3,4,3,2,4,3,3,2,2015-10-12,0.538297192427287,0,3,1,3,0,"Podkarpackie",0,2,"history",2,21,0,0,2,1,0,1,0,0,"PiS","some","50/50",2,NA,NA
"6405",1283,3,2,NA,3,3,3,3,2.5,3,3,4,2,2015-10-12,1.26899936676739,0,2,1,NA,0,"Slaskie",1,1,"Hungary",4,31,0,0,NA,1,0,0,0,1,"DK","DK","90/10",1,NA,NA
"6406",1284,3,2,NA,3,3,3,3,2,3,5,3,4,2015-10-12,1.06856285493558,1,2,1,3,0,"Slaskie",0,2,"cntrl",5,34,1,0,1,1,0,1,0,0,"DK","some","90/10",1,NA,NA
"6407",1289,1,1,2,2,5,5,3,2,2,2,3,1,2015-10-12,1.29863917691364,0,2,2,2,0,"Wielkopolskie",1,1,"info",4,41,0,0,3,0,0,0,0,1,"PO/PSL","big","50/50",2,NA,NA
"6408",1291,1,1,1,3,3,4,3,2,3,3,4,2,2015-10-12,0.649639925659763,1,4,2,2,0,"Wielkopolskie",1,1,"history",5,61,0,0,0,1,1,0,0,1,"PO/PSL","none","some",2,NA,NA
"6409",1293,2,2,1,3,3,NA,3,4,3,3,3,2,2015-10-12,0.606421621698889,1,2,1,3,0,"Podkarpackie",1,1,"cntrl",2,64,0,0,1,1,0,0,NA,NA,"PiS","big","none",2,NA,NA
"6410",1295,4,2,2,2,4,2,2,4,4,5,3,2,2015-10-12,1.21079895703714,1,1,1,4,1,"Podkarpackie",0,2,"history",NA,35,0,0,1,0,0,1,0,0,"PiS","none","none",2,NA,NA
"6411",1297,4,3,2,3,4,4,3,2.5,3,4,3,2,2015-10-12,1.00687301038138,1,1,1,4,0,"Podkarpackie",0,2,"info",1,60,0,0,0,1,0,1,0,0,"NoVote","none","none",0,NA,NA
"6412",1298,3,3,2,2,2,3,2,2.5,3,3,5,3,2015-10-12,0.582161996607338,1,2,1,NA,0,"Podkarpackie",NA,1,"Hungary",NA,77,0,0,0,0,1,0,NA,NA,"PO/PSL","big","DK",2,NA,NA
"6413",1301,4,4,NA,3,3,2,2,3,3,4,3,2,2015-10-12,0.883709100290973,1,1,1,2,0,"Podkarpackie",0,1,"cntrl",1,62,0,0,0,1,0,0,0,0,"DK","DK","DK",1,NA,NA
