"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"5886",83,3,3,2,3,3,4,3,4,3,2,3,4,2015-10-08,0.789477135831935,1,3,2,4,1,"Wielkopolskie",1,2,"history",3,51,0,0,0,1,0,1,NA,NA,"DK","DK","90/10",1,NA,NA
"5887",85,5,4,2,5,2,5,4,2.5,3,3,3,2,2015-10-08,0.632755692508982,1,2,2,4,1,"Wielkopolskie",1,2,"cntrl",NA,56,0,0,0,0,0,1,0,0,"DK","none","none",1,NA,NA
"5888",90,2,2,2,3,3,3,3,3,4,3,2,4,2015-10-08,1.1206049422012,1,1,2,3,1,"Kujawsko-pomorskie",1,2,"info",2,59,0,0,3,0,0,1,0,1,"DK","none","none",2,NA,NA
"5889",91,4,2,NA,3,3,NA,4,2,3,2,3,2,2015-10-08,1.45680656451636,1,2,2,3,0,"Kujawsko-pomorskie",NA,2,"history",1,35,0,0,0,1,0,1,NA,NA,"PiS","some","some",2,NA,NA
"5890",92,2,2,1,1,2,2,2,1,5,3,1,1,2015-10-08,1.02734445392603,0,1,2,1,0,"Kujawsko-pomorskie",1,1,"history",NA,71,0,0,3,1,1,0,NA,NA,"PiS","DK","some",2,NA,NA
"5891",106,3,3,1,3,4,5,5,1,3,3,3,3,2015-10-08,1.49248584323862,0,2,1,1,0,"Lubelskie",0,1,"Hungary",NA,50,0,0,0,0,0,0,0,0,"NoVote","none","none",0,NA,NA
"5892",107,5,3,NA,3,3,3,2,2.5,3,3,4,2,2015-10-08,1.01815777645895,1,2,1,4,0,"Lubelskie",NA,2,"info",1,47,0,0,-1,1,0,1,NA,NA,"PiS","some","some",2,NA,NA
"5893",112,1,1,NA,NA,3,NA,3,2.5,3,3,2,3,2015-10-08,0.699157332061297,0,4,1,3,1,"Lubelskie",1,1,"Hungary",4,69,0,0,-3,1,1,0,0,1,"other","some","50/50",2,NA,NA
"5894",113,2,2,1,2,NA,3,2,2,3,3,5,5,2015-10-08,1.23734556693174,1,3,2,2,0,"Dolnoslaskie",1,1,"cntrl",5,65,0,0,-1,1,1,0,0,0,"other","DK","DK",2,NA,NA
"5895",115,2,2,1,2,NA,NA,NA,2.5,5,3,5,5,2015-10-08,2.54022117022307,0,1,2,NA,0,"Dolnoslaskie",0,2,"cntrl",3,21,0,0,NA,0,0,1,0,0,"NoVote","DK","DK",0,NA,NA
"5896",118,2,2,2,3,4,3,3,2.5,3,3,2,4,2015-10-08,1.42733066003904,1,4,2,3,0,"Dolnoslaskie",1,1,"Hungary",3,78,0,0,-2,0,1,0,0,1,"NoVote","none","90/10",0,NA,NA
"5897",122,1,1,NA,3,3,2,3,4,3,3,3,2,2015-10-08,0.736870766911637,0,2,3,4,0,"Slaskie",1,2,"cntrl",4,60,0,0,3,0,0,1,1,0,"PiS","big","90/10",2,NA,NA
"5898",125,4,2,2,3,4,4,4,2.5,2,2,5,4,2015-10-08,0.964158449929868,1,2,3,3,0,"Slaskie",0,2,"history",1,38,0,0,NA,1,0,1,0,0,"NoVote","big","90/10",0,NA,NA
"5899",130,4,4,2,4,4,4,4,2,4,3,1,2,2015-10-08,0.745568216388763,1,2,3,3,0,"Podkarpackie",0,1,"history",4,51,0,0,-1,0,0,1,0,0,"DK","big","some",1,NA,NA
"5900",131,4,2,NA,3,3,3,3,2.5,4,3,5,2,2015-10-08,1.55265813670336,1,2,3,3,1,"Malopolskie",0,1,"cntrl",NA,31,0,0,3,1,0,0,0,0,"DK","none","some",1,NA,NA
"5901",133,3,3,1,2,2,2,2,4,3,3,1,2,2015-10-08,1.37860530925531,1,1,3,4,1,"Malopolskie",1,1,"cntrl",2,62,0,0,-1,0,0,0,1,0,"PiS","DK","some",2,NA,NA
"5902",143,4,2,1,3,4,NA,3,2,4,3,3,2,2015-10-08,0.926789047463964,1,4,2,2,0,"Pomorskie",1,2,"info",5,42,1,0,0,0,0,1,0,1,"PO/PSL","none","some",2,NA,NA
